질문,연령대,성별,전혀 그렇지 않다,그렇지 않다,보통이다,그렇다,매우 그렇다,키워드
약자나 취약한 위치에 있는 사람을 신경쓰는 것은 중요하다,20대,M,2,3.2,22.3,48.7,18.9,약자보호
나와 같은 계층은 충분히 보상을 받고 있다,20대,M,11.5,35,40,16,4.9,보상
세상에는 상대적으로 남보다 더 우월한 사람들이 있다,20대,M,3.3,7.6,21.1,45.3,21.4,능력주의
외국 자연재해에 짜릿함을 느낀다,20대,M,53.8,33.7,14,7,3.3,파괴욕구
모든 사람이 평등하게 대우 받는 것이 중요하다,20대,M,2.4,5.2,37.6,36.8,16.9,평등
노력하는 만큼 소득에 차이가 나야 한다,20대,M,2.4,4.7,21.8,47.9,21,능력주의
나와 같은 세대는 충분히 보상을 받고 있다,20대,M,15.2,36.3,31.4,14.9,4.5,보상
연민과 동정은 중요한 덕목이다,20대,M,3.3,8.2,36.4,34.6,13.6,연민
성공하려면 타인을 눌러야 할 때도 있다,20대,M,2.8,19.4,22.3,45.4,16.8,능력주의
인류 대부분이 사라지는 상상을 한다,20대,M,36.9,32,23.6,13.6,6.5,파괴욕구
다음 세대에 살기 좋은 세상을 물려줘야 한다,20대,M,2.5,2.6,27.6,38.4,25.6,미래
아이를 갖는 것은 사회적 의무다,20대,M,19.8,23.9,30.8,15.3,8.6,젠더
모두가 동등한 대우를 받는지 따지는 것은 중요하다,20대,M,2,6.3,32.6,38.1,18,평등
약자 보호를 주장하는 사람들의 도덕적 우월감이 불편하다,20대,M,9,26.1,34.3,18.6,16.5,평등
남녀 임금 격차에는 타당한 이유가 있다,20대,M,9,23.4,24.8,31.2,22.4,젠더
좋고 멋진 것을 파괴하고 싶은 충동을 느낀다,20대,M,46.3,32.8,14.8,8.6,4.5,파괴욕구
어머니가 일하면 아이들이 어려움을 겪는다,20대,M,18.9,25,25.6,18.9,6.5,젠더
약자를 공정하게 대우하는 것이 중요하다,20대,M,2.4,4.5,38.9,35.8,14.8,약자보호
사회적 약자 보호 노력이 과하다,20대,M,8.7,27.3,38,18.5,15.7,평등
부는 노력보다 운에 따라 결정된다,20대,M,9.1,34,37.6,20.1,9.9,능력주의
기후위기 극복을 위한 강한 규제가 필요하다,20대,M,3.7,5.8,36,30.2,15.1,기후위기
명절에 제사 대신 해외여행은 비난받을 일이 아니다,20대,M,7.4,14.8,25.1,33.1,25.5,전통
요즘 사회는 말에 너무 민감하다,20대,M,0.8,4.3,20.3,38,33.7,과민성
부유해지는 것이 삶의 가장 중요한 목표다,20대,M,4.1,18.9,23.1,42.5,13.1,물질주의
사회가 완전히 무너져야 한다고 생각한다,20대,M,43,31.2,21.5,7.8,4,파괴욕구
법 제정의 첫 원칙은 공평한 대우이다,20대,M,1.6,3.3,28.5,34.6,28.5,평등
결혼은 개인의 선택이다,20대,M,3.7,8.9,16.1,40.5,32.2,젠더
극단주의 제압할 강력한 지도자가 필요하다,20대,M,6.6,8.9,25.2,31.7,21,권위주의
사회 제도를 허물고 다시 시작해야 한다,20대,M,33.1,34.3,20.6,16.9,6.5,파괴욕구
부정행위자 처벌시 기분이 좋다,20대,M,1.6,5.6,26.4,30.1,34.6,처벌쾌감
청소년에게 더 많은 훈육이 필요하다,20대,M,3.7,9,24.3,33.5,25.9,훈육
모든 사람은 동일한 삶의 지원을 받아야 한다,20대,M,7,21.6,36.7,19.8,10.3,평등
여성은 가정과 아이들을 우선시해야 한다,20대,M,11.9,16.8,38.1,19,7.7,젠더
차별금지법은 도입되어야 한다,20대,M,14.9,13.5,32.2,27.9,11.6,차별금지
모든 사람이 동일한 돈을 벌면 세상은 더 나아진다,20대,M,32.6,39.6,21.4,14.4,6.6,평등
가족보다 개인의 직업 성공이 더 중요하다,20대,M,6.5,33.3,40.2,20.1,8.7,개인주의
약자나 취약한 위치에 있는 사람을 신경쓰는 것은 중요하다,30대,M,2.9,3.2,27.2,50.6,12.7,약자보호
나와 같은 계층은 충분히 보상을 받고 있다,30대,M,15.7,35,37.1,9.2,5.5,보상
세상에는 상대적으로 남보다 더 우월한 사람들이 있다,30대,M,2.5,7.6,19.6,45.3,22.2,능력주의
외국 자연재해에 짜릿함을 느낀다,30대,M,51,33.7,13.7,6.8,3.4,파괴욕구
모든 사람이 평등하게 대우 받는 것이 중요하다,30대,M,3.4,5.2,27.4,40.8,19.3,평등
노력하는 만큼 소득에 차이가 나야 한다,30대,M,2.1,4.7,26.8,48.1,15.2,능력주의
나와 같은 세대는 충분히 보상을 받고 있다,30대,M,14.8,36.3,33.2,10.2,2.5,보상
연민과 동정은 중요한 덕목이다,30대,M,4.3,8.2,37.8,37.7,7.2,연민
성공하려면 타인을 눌러야 할 때도 있다,30대,M,3.8,19.4,26,45.2,15.1,능력주의
인류 대부분이 사라지는 상상을 한다,30대,M,37.8,32,17.4,14.1,1.7,파괴욕구
다음 세대에 살기 좋은 세상을 물려줘야 한다,30대,M,0.4,2.6,26.6,43.5,25.4,미래
아이를 갖는 것은 사회적 의무다,30대,M,19.2,23.9,30.9,15.2,4.2,젠더
모두가 동등한 대우를 받는지 따지는 것은 중요하다,30대,M,3,6.3,30.8,39.9,14.6,평등
약자 보호를 주장하는 사람들의 도덕적 우월감이 불편하다,30대,M,6.6,26.1,33.3,23.3,14,평등
남녀 임금 격차에는 타당한 이유가 있다,30대,M,8.1,23.4,28.5,33.8,21.5,젠더
좋고 멋진 것을 파괴하고 싶은 충동을 느낀다,30대,M,44.7,32.8,15.4,13,1.3,파괴욕구
어머니가 일하면 아이들이 어려움을 겪는다,30대,M,12.2,25,28.2,23.3,5.1,젠더
약자를 공정하게 대우하는 것이 중요하다,30대,M,3.8,4.5,33.7,43.5,11.5,약자보호
사회적 약자 보호 노력이 과하다,30대,M,7.1,27.3,33.7,24.3,14.8,평등
부는 노력보다 운에 따라 결정된다,30대,M,5.5,34,37,23.8,9.3,능력주의
기후위기 극복을 위한 강한 규제가 필요하다,30대,M,4.2,5.8,38.7,36,11.5,기후위기
명절에 제사 대신 해외여행은 비난받을 일이 아니다,30대,M,6.3,14.8,20.8,40.5,24.1,전통
요즘 사회는 말에 너무 민감하다,30대,M,2.5,4.3,19.2,48.4,27.6,과민성
부유해지는 것이 삶의 가장 중요한 목표다,30대,M,2.1,18.9,31,41.7,14.4,물질주의
사회가 완전히 무너져야 한다고 생각한다,30대,M,42.4,31.2,21.2,9.4,2.9,파괴욕구
법 제정의 첫 원칙은 공평한 대우이다,30대,M,1.7,3.3,24.8,42.8,27.5,평등
결혼은 개인의 선택이다,30대,M,1.2,8.9,20,41.7,30.1,젠더
극단주의 제압할 강력한 지도자가 필요하다,30대,M,4.6,8.9,27.8,33.5,22.1,권위주의
사회 제도를 허물고 다시 시작해야 한다,30대,M,27.1,34.3,22.1,13.1,5.5,파괴욕구
부정행위자 처벌시 기분이 좋다,30대,M,2,5.6,26.8,38.7,28,처벌쾌감
청소년에게 더 많은 훈육이 필요하다,30대,M,3,9,29,37.4,20.6,훈육
