question_kr,age_kr,gender,pct_sd,pct_d,pct_n,pct_a,pct_sa,keyword_kr
"어떤 사람이 약자나 취약한 위치에 있는 사람을 신경쓰거나 돌보는 것은 중요하다.",20대,남성,2.0800,7.8500,22.3900,48.7000,18.9700,"공감 헤모글로빈"
"어떤 사람이 약자나 취약한 위치에 있는 사람을 신경쓰거나 돌보는 것은 중요하다.",30대,남성,2.9700,6.3600,27.2900,50.6400,12.7500,"공감 헤모글로빈"
"어떤 사람이 약자나 취약한 위치에 있는 사람을 신경쓰거나 돌보는 것은 중요하다.",40대,남성,1.1200,4.0400,19.5800,54.9100,20.3600,"공감 헤모글로빈"
"어떤 사람이 약자나 취약한 위치에 있는 사람을 신경쓰거나 돌보는 것은 중요하다.",50대,남성,0.9700,2.0500,8.0400,68.2700,20.6700,"공감 헤모글로빈"
"어떤 사람이 약자나 취약한 위치에 있는 사람을 신경쓰거나 돌보는 것은 중요하다.",60대,남성,0.3100,1.3300,3.1400,51.7900,43.4300,"공감 헤모글로빈"
"어떤 사람이 약자나 취약한 위치에 있는 사람을 신경쓰거나 돌보는 것은 중요하다.",70대 이상,남성,0.8100,0.8400,2.1100,60.1000,36.1400,"공감 헤모글로빈"
"어떤 사람이 약자나 취약한 위치에 있는 사람을 신경쓰거나 돌보는 것은 중요하다.",20대,여성,2.7500,4.0100,20.1400,52.9300,20.1700,"공감 헤모글로빈"
"어떤 사람이 약자나 취약한 위치에 있는 사람을 신경쓰거나 돌보는 것은 중요하다.",30대,여성,1.3500,3.6200,25.0200,53.3600,16.6500,"공감 헤모글로빈"
"어떤 사람이 약자나 취약한 위치에 있는 사람을 신경쓰거나 돌보는 것은 중요하다.",40대,여성,0.4100,3.4900,17.4100,60.9200,17.7800,"공감 헤모글로빈"
"어떤 사람이 약자나 취약한 위치에 있는 사람을 신경쓰거나 돌보는 것은 중요하다.",50대,여성,0.0000,3.3600,11.7700,64.4400,20.4200,"공감 헤모글로빈"
"어떤 사람이 약자나 취약한 위치에 있는 사람을 신경쓰거나 돌보는 것은 중요하다.",60대,여성,0.3500,0.6800,2.5800,55.0500,41.3300,"공감 헤모글로빈"
"어떤 사람이 약자나 취약한 위치에 있는 사람을 신경쓰거나 돌보는 것은 중요하다.",70대 이상,여성,0.0000,1.9000,11.9100,52.6600,33.5200,"공감 헤모글로빈"
"나와 같은 계층(소득, 자산)의 사람들은 충분히 보상을 받고 있다.",20대,남성,11.5900,27.2900,40.0800,16.0800,4.9600,"정체성 단백"
"나와 같은 계층(소득, 자산)의 사람들은 충분히 보상을 받고 있다.",30대,남성,15.7200,32.3800,37.1300,9.2500,5.5100,"정체성 단백"
"나와 같은 계층(소득, 자산)의 사람들은 충분히 보상을 받고 있다.",40대,남성,11.8400,37.0200,36.5800,12.6900,1.8700,"정체성 단백"
"나와 같은 계층(소득, 자산)의 사람들은 충분히 보상을 받고 있다.",50대,남성,13.0500,43.0400,34.8600,7.7200,1.3400,"정체성 단백"
"나와 같은 계층(소득, 자산)의 사람들은 충분히 보상을 받고 있다.",60대,남성,7.6100,34.5600,35.8700,18.4600,3.5000,"정체성 단백"
"나와 같은 계층(소득, 자산)의 사람들은 충분히 보상을 받고 있다.",70대 이상,남성,5.7400,31.1400,36.1600,23.1300,3.8300,"정체성 단백"
"나와 같은 계층(소득, 자산)의 사람들은 충분히 보상을 받고 있다.",20대,여성,12.5100,27.2500,45.3600,13.0800,1.8100,"정체성 단백"
"나와 같은 계층(소득, 자산)의 사람들은 충분히 보상을 받고 있다.",30대,여성,18.5400,39.4000,35.2800,6.3300,0.4400,"정체성 단백"
"나와 같은 계층(소득, 자산)의 사람들은 충분히 보상을 받고 있다.",40대,여성,15.4800,42.7700,34.7500,6.2300,0.7700,"정체성 단백"
"나와 같은 계층(소득, 자산)의 사람들은 충분히 보상을 받고 있다.",50대,여성,13.0800,39.9500,39.9400,5.7000,1.3300,"정체성 단백"
"나와 같은 계층(소득, 자산)의 사람들은 충분히 보상을 받고 있다.",60대,여성,4.9200,34.4500,42.0100,16.8600,1.7500,"정체성 단백"
"나와 같은 계층(소득, 자산)의 사람들은 충분히 보상을 받고 있다.",70대 이상,여성,5.5000,27.3800,39.4600,23.6300,4.0300,"정체성 단백"
"세상에는 상대적으로 남보다 더 우월한 사람들이 있다",20대,남성,3.3200,8.7300,21.1300,45.3400,21.4700,"우열 수용체"
"세상에는 상대적으로 남보다 더 우월한 사람들이 있다",30대,남성,2.5600,10.1500,19.6700,45.3400,22.2800,"우열 수용체"
"세상에는 상대적으로 남보다 더 우월한 사람들이 있다",40대,남성,1.4700,7.3900,20.3800,51.1000,19.6500,"우열 수용체"
"세상에는 상대적으로 남보다 더 우월한 사람들이 있다",50대,남성,1.9900,3.9700,11.3000,62.3500,20.4000,"우열 수용체"
"세상에는 상대적으로 남보다 더 우월한 사람들이 있다",60대,남성,2.2500,12.5900,13.8000,52.8100,18.5500,"우열 수용체"
"세상에는 상대적으로 남보다 더 우월한 사람들이 있다",70대 이상,남성,3.3400,7.1100,18.1800,56.6000,14.7700,"우열 수용체"
"세상에는 상대적으로 남보다 더 우월한 사람들이 있다",20대,여성,1.7800,11.2500,21.8600,48.5700,16.5500,"우열 수용체"
"세상에는 상대적으로 남보다 더 우월한 사람들이 있다",30대,여성,1.7900,7.7200,18.0900,50.6500,21.7500,"우열 수용체"
"세상에는 상대적으로 남보다 더 우월한 사람들이 있다",40대,여성,1.1600,5.7300,16.9900,63.0100,13.1100,"우열 수용체"
"세상에는 상대적으로 남보다 더 우월한 사람들이 있다",50대,여성,1.3500,3.6700,13.0900,64.7900,17.1000,"우열 수용체"
"세상에는 상대적으로 남보다 더 우월한 사람들이 있다",60대,여성,4.0900,5.3300,14.6800,65.2200,10.6700,"우열 수용체"
"세상에는 상대적으로 남보다 더 우월한 사람들이 있다",70대 이상,여성,0.8400,9.9900,23.6600,55.4200,10.0800,"우열 수용체"
"나는 외국에서 자연재해가 발생하면 짜릿함을 느낀다.",20대,남성,53.8100,21.7700,14.0900,7.0200,3.3100,"구조 백혈구"
"나는 외국에서 자연재해가 발생하면 짜릿함을 느낀다.",30대,남성,51.0300,25.0300,13.7000,6.8400,3.4100,"구조 백혈구"
"나는 외국에서 자연재해가 발생하면 짜릿함을 느낀다.",40대,남성,43.3400,37.7200,10.7400,7.0800,1.1100,"구조 백혈구"
